<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;1;050922;120200;250.5900000;250.8000000;250.5900000;250.8000000;93970
GAZP;1;050922;120300;250.8000000;250.8000000;250.7000000;250.7100000;5750
GAZP;1;050922;120400;250.7700000;250.7700000;250.6000000;250.6700000;12580
GAZP;1;050922;120500;250.6800000;250.6800000;250.6100000;250.6100000;3460
GAZP;1;050922;120600;250.6400000;250.7000000;250.6100000;250.6400000;11050
GAZP;1;050922;120700;250.6900000;250.7500000;250.5900000;250.6800000;51600
GAZP;1;050922;120800;250.6800000;250.7100000;250.5900000;250.6200000;7450
GAZP;1;050922;120900;250.6200000;250.6200000;250.5900000;250.5900000;8090
GAZP;1;050922;121000;250.5900000;250.7200000;250.5900000;250.7200000;30940
GAZP;1;050922;121100;250.7200000;250.7200000;250.3100000;250.4400000;37610
GAZP;1;050922;121200;250.3800000;250.4900000;250.2000000;250.3500000;38120
GAZP;1;050922;121300;250.3400000;250.4400000;250.3000000;250.4000000;12460
GAZP;1;050922;121400;250.4000000;250.4000000;250.2500000;250.2800000;23710
GAZP;1;050922;121500;250.2500000;250.3000000;250.2500000;250.2500000;5360
GAZP;1;050922;121600;250.2800000;250.2800000;250.1800000;250.2000000;18630
GAZP;1;050922;121700;250.2000000;250.2000000;250.1200000;250.2000000;74280
GAZP;1;050922;121800;250.2000000;250.2000000;250.0200000;250.0900000;46800
GAZP;1;050922;121900;250.0900000;250.1500000;250.0900000;250.1200000;10200
GAZP;1;050922;122000;250.1200000;250.2000000;250.1200000;250.1700000;17830
GAZP;1;050922;122100;250.1700000;250.2000000;250.0900000;250.1500000;27920
GAZP;1;050922;122200;250.1200000;250.1900000;250.0900000;250.1800000;19070
GAZP;1;050922;122300;250.1800000;250.1800000;250.0900000;250.1300000;33670
GAZP;1;050922;122400;250.1300000;250.1300000;250.0900000;250.0900000;13890
GAZP;1;050922;122500;250.1100000;250.1300000;250.0900000;250.0900000;20120
GAZP;1;050922;122600;250.1000000;250.1000000;250.0900000;250.0900000;30140
GAZP;1;050922;122700;250.0900000;250.1000000;250.0900000;250.0900000;10570
GAZP;1;050922;122800;250.1000000;250.2000000;250.0900000;250.1800000;24860
GAZP;1;050922;122900;250.2000000;250.3600000;250.1800000;250.3600000;25070
GAZP;1;050922;123000;250.3500000;250.4000000;250.3000000;250.3600000;13830
GAZP;1;050922;123100;250.4000000;250.4100000;250.2300000;250.3300000;15390
GAZP;1;050922;123200;250.3300000;250.3500000;250.2100000;250.2500000;8380
GAZP;1;050922;123300;250.2500000;250.3000000;250.2300000;250.2300000;7330
GAZP;1;050922;123400;250.2500000;250.3300000;250.2300000;250.2600000;11750
GAZP;1;050922;123500;250.3100000;250.3100000;250.2600000;250.2600000;1980
GAZP;1;050922;123600;250.2600000;250.3000000;250.2000000;250.2400000;12330
GAZP;1;050922;123700;250.2900000;250.3100000;250.2400000;250.3000000;7880
GAZP;1;050922;123800;250.3100000;250.3500000;250.3000000;250.3500000;7820
GAZP;1;050922;123900;250.3500000;250.3700000;250.3100000;250.3100000;7480
GAZP;1;050922;124000;250.3100000;250.3700000;250.3000000;250.3200000;11440
GAZP;1;050922;124100;250.3200000;250.5000000;250.3000000;250.4400000;43540
GAZP;1;050922;124200;250.5000000;250.5400000;250.4500000;250.5400000;14020
GAZP;1;050922;124300;250.5400000;250.6900000;250.5200000;250.6800000;55920
GAZP;1;050922;124400;250.6800000;250.6900000;250.4600000;250.4700000;26720
GAZP;1;050922;124500;250.5600000;250.5600000;250.3200000;250.3200000;19030
GAZP;1;050922;124600;250.4000000;250.4000000;250.1500000;250.2100000;35560
GAZP;1;050922;124700;250.2100000;250.3600000;250.1200000;250.3600000;17520
GAZP;1;050922;124800;250.3000000;250.4000000;250.2900000;250.4000000;3480
GAZP;1;050922;124900;250.4000000;250.4200000;250.3000000;250.3000000;6420
GAZP;1;050922;125000;250.2900000;250.4100000;250.2500000;250.3500000;8190
GAZP;1;050922;125100;250.3500000;250.3500000;250.2600000;250.2600000;4390
GAZP;1;050922;125200;250.3300000;250.3300000;250.2600000;250.3000000;4170
GAZP;1;050922;125300;250.2800000;250.3500000;250.2600000;250.3000000;12870
GAZP;1;050922;125400;250.3400000;250.3500000;250.2700000;250.2700000;5120
GAZP;1;050922;125500;250.2700000;250.3500000;250.2700000;250.2700000;15470
GAZP;1;050922;125600;250.2700000;250.3200000;250.2600000;250.3000000;22820
GAZP;1;050922;125700;250.2800000;250.3300000;250.2500000;250.2500000;18450
GAZP;1;050922;125800;250.3200000;250.4000000;250.2700000;250.3500000;14090
GAZP;1;050922;125900;250.3200000;250.3700000;250.2700000;250.3400000;6440
GAZP;1;050922;130000;250.3400000;250.3500000;250.2500000;250.3000000;16110
GAZP;1;050922;130100;250.3000000;250.3200000;250.1800000;250.2500000;22370
GAZP;1;050922;130200;250.2100000;250.4500000;250.2100000;250.4500000;18910
GAZP;1;050922;130300;250.4500000;250.4900000;250.3300000;250.4700000;21120
GAZP;1;050922;130400;250.4600000;250.4600000;250.3100000;250.3100000;8450
GAZP;1;050922;130500;250.3500000;250.3900000;250.3000000;250.3900000;5600
GAZP;1;050922;130600;250.3900000;250.3900000;250.2500000;250.3100000;4160
GAZP;1;050922;130700;250.3000000;250.3000000;250.2100000;250.2400000;30580
GAZP;1;050922;130800;250.2400000;250.2800000;250.2100000;250.2800000;9230
GAZP;1;050922;130900;250.2500000;250.4700000;250.2500000;250.4200000;46970
GAZP;1;050922;131000;250.4600000;250.5000000;250.4100000;250.5000000;46660
GAZP;1;050922;131100;250.4800000;250.4900000;250.3800000;250.4300000;14640
GAZP;1;050922;131200;250.4300000;250.4800000;250.3300000;250.4800000;7130
GAZP;1;050922;131300;250.4700000;250.5200000;250.4100000;250.4900000;30730
GAZP;1;050922;131400;250.4600000;250.8300000;250.4600000;250.7900000;109690
GAZP;1;050922;131500;250.8200000;250.8300000;250.7000000;250.7900000;43310
GAZP;1;050922;131600;250.7500000;250.8200000;250.5500000;250.5500000;63220
GAZP;1;050922;131700;250.5500000;250.7500000;250.5000000;250.7400000;20680
GAZP;1;050922;131800;250.7000000;250.7200000;250.2000000;250.2000000;87380
GAZP;1;050922;131900;250.2500000;250.3400000;250.2000000;250.2100000;49750
GAZP;1;050922;132000;250.2000000;250.2400000;250.1500000;250.2000000;22440
GAZP;1;050922;132100;250.2400000;250.2700000;250.2000000;250.2500000;8920
GAZP;1;050922;132200;250.2400000;250.3000000;250.2100000;250.2400000;4250
GAZP;1;050922;132300;250.2900000;250.3000000;250.2300000;250.2300000;8880
GAZP;1;050922;132400;250.2400000;250.3100000;250.2300000;250.3100000;6860
GAZP;1;050922;132500;250.3100000;250.3800000;250.2400000;250.3400000;14730
GAZP;1;050922;132600;250.3000000;250.4000000;250.2300000;250.3500000;13030
GAZP;1;050922;132700;250.3500000;250.4000000;250.3000000;250.3400000;6640
GAZP;1;050922;132800;250.3400000;250.3800000;250.2700000;250.2700000;11510
GAZP;1;050922;132900;250.2700000;250.3800000;250.2400000;250.3600000;17280
GAZP;1;050922;133000;250.3600000;250.3800000;250.2300000;250.3200000;32390
GAZP;1;050922;133100;250.3200000;250.3800000;250.2500000;250.2700000;7290
GAZP;1;050922;133200;250.3000000;250.3200000;250.2700000;250.3100000;2970
GAZP;1;050922;133300;250.3100000;250.4000000;250.2800000;250.3500000;10730
GAZP;1;050922;133400;250.3500000;250.4500000;250.2700000;250.4400000;13610
GAZP;1;050922;133500;250.3800000;250.4600000;250.3500000;250.3900000;3360
GAZP;1;050922;133600;250.4600000;250.4900000;250.4000000;250.4800000;16850
GAZP;1;050922;133700;250.4800000;250.4900000;250.3000000;250.3500000;117940
GAZP;1;050922;133800;250.3500000;250.4500000;250.2800000;250.4500000;17890
GAZP;1;050922;133900;250.3600000;250.4500000;250.3500000;250.4500000;16390
GAZP;1;050922;134000;250.4400000;250.4400000;250.3700000;250.4300000;2640
GAZP;1;050922;134100;250.4300000;250.4300000;250.3200000;250.4200000;5410
GAZP;1;050922;134200;250.4000000;250.4300000;250.4000000;250.4200000;7590
GAZP;1;050922;134300;250.4200000;250.4300000;250.3600000;250.4100000;6820
GAZP;1;050922;134400;250.4100000;250.4200000;250.3200000;250.3600000;8340
GAZP;1;050922;134500;250.4000000;250.4200000;250.3300000;250.4000000;12120
GAZP;1;050922;134600;250.4000000;250.4000000;250.2500000;250.4000000;36270
GAZP;1;050922;134700;250.4000000;250.6000000;250.3900000;250.4500000;263330
GAZP;1;050922;134800;250.4500000;250.4500000;250.3900000;250.4500000;5720
GAZP;1;050922;134900;250.4500000;250.4500000;250.3700000;250.3900000;4270
GAZP;1;050922;135000;250.4000000;250.4900000;250.3100000;250.3200000;10590
GAZP;1;050922;135100;250.3100000;250.3400000;250.2700000;250.3000000;7710
GAZP;1;050922;135200;250.3000000;250.3000000;250.2400000;250.3000000;7230
GAZP;1;050922;135300;250.3000000;250.3300000;250.2500000;250.3000000;20230
GAZP;1;050922;135400;250.3300000;250.3700000;250.2900000;250.3400000;2350
GAZP;1;050922;135500;250.3400000;250.3400000;250.2800000;250.2900000;5910
GAZP;1;050922;135600;250.2900000;250.3400000;250.2800000;250.3300000;1580
GAZP;1;050922;135700;250.3300000;250.3400000;250.2800000;250.3400000;4830
GAZP;1;050922;135800;250.3400000;250.3600000;250.3000000;250.3500000;5140
GAZP;1;050922;135900;250.3500000;250.3900000;250.3000000;250.3300000;6540
GAZP;1;050922;140000;250.3200000;250.3800000;250.3000000;250.3300000;5490
GAZP;1;050922;140100;250.3200000;250.4000000;250.2500000;250.4000000;18240
GAZP;1;050922;140200;250.4000000;250.4000000;250.3500000;250.3500000;7180
GAZP;1;050922;140300;250.3900000;250.4900000;250.3500000;250.4800000;7720
GAZP;1;050922;140400;250.4900000;250.4900000;250.4100000;250.4900000;3560
GAZP;1;050922;140500;250.4500000;250.4900000;250.4000000;250.4900000;4260
GAZP;1;050922;140600;250.4700000;250.4700000;250.3500000;250.4000000;14860
GAZP;1;050922;140700;250.3500000;250.4200000;250.3000000;250.3800000;19330
GAZP;1;050922;140800;250.3800000;250.3900000;250.2700000;250.3000000;13960
GAZP;1;050922;140900;250.3000000;250.3700000;250.3000000;250.3500000;8680
GAZP;1;050922;141000;250.3500000;250.4000000;250.3300000;250.3900000;6380
GAZP;1;050922;141100;250.3900000;250.4000000;250.3200000;250.4000000;11830
GAZP;1;050922;141200;250.3500000;250.4500000;250.3200000;250.4000000;8340
GAZP;1;050922;141300;250.4500000;250.4900000;250.3400000;250.3400000;7150
GAZP;1;050922;141400;250.4100000;250.4500000;250.3400000;250.3500000;14310
GAZP;1;050922;141500;250.3500000;250.4400000;250.3000000;250.3300000;15010
GAZP;1;050922;141600;250.3700000;250.4300000;250.3700000;250.4300000;2330
GAZP;1;050922;141700;250.4300000;250.4400000;250.3800000;250.4200000;4900
GAZP;1;050922;141800;250.4200000;250.4500000;250.3700000;250.3900000;18610
GAZP;1;050922;141900;250.4000000;250.4000000;250.3300000;250.3800000;17030
GAZP;1;050922;142000;250.4000000;250.5500000;250.4000000;250.5200000;68540
GAZP;1;050922;142100;250.5200000;250.5500000;250.5000000;250.5500000;13780
GAZP;1;050922;142200;250.5400000;250.7600000;250.5400000;250.6900000;77700
GAZP;1;050922;142300;250.7000000;250.7000000;250.5900000;250.5900000;13540
GAZP;1;050922;142400;250.6200000;250.6900000;250.5000000;250.5000000;30870
GAZP;1;050922;142500;250.5300000;250.8200000;250.5200000;250.7500000;79410
GAZP;1;050922;142600;250.7500000;250.7600000;250.5500000;250.6500000;35610
GAZP;1;050922;142700;250.6500000;250.6500000;250.5400000;250.5500000;11130
GAZP;1;050922;142800;250.5500000;250.5500000;250.5000000;250.5100000;39860
GAZP;1;050922;142900;250.5000000;250.6000000;250.5000000;250.5400000;77080
GAZP;1;050922;143000;250.5400000;250.7000000;250.5400000;250.6100000;21450
GAZP;1;050922;143100;250.6100000;250.6700000;250.5200000;250.5800000;18760
GAZP;1;050922;143200;250.5500000;250.5600000;250.5000000;250.5000000;47100
GAZP;1;050922;143300;250.5100000;250.6600000;250.5000000;250.6500000;43780
GAZP;1;050922;143400;250.6500000;250.6700000;250.6000000;250.6000000;14460
GAZP;1;050922;143500;250.5900000;250.6000000;250.5000000;250.6000000;131740
GAZP;1;050922;143600;250.5300000;250.6500000;250.5300000;250.5500000;9860
GAZP;1;050922;143700;250.5200000;250.5600000;250.5000000;250.5200000;6970
GAZP;1;050922;143800;250.5000000;250.5600000;250.5000000;250.5600000;24910
GAZP;1;050922;143900;250.5500000;250.6800000;250.5500000;250.6600000;4760
GAZP;1;050922;144000;250.6700000;250.7400000;250.6600000;250.6800000;19270
GAZP;1;050922;144100;250.6700000;250.7300000;250.5400000;250.6100000;14370
GAZP;1;050922;144200;250.6700000;250.6900000;250.6000000;250.6000000;9610
GAZP;1;050922;144300;250.6100000;250.6100000;250.5800000;250.5900000;4570
GAZP;1;050922;144400;250.5900000;250.5900000;250.5500000;250.5900000;20530
GAZP;1;050922;144500;250.5900000;250.5900000;250.5400000;250.5500000;5400
GAZP;1;050922;144600;250.5900000;250.7000000;250.5900000;250.6300000;21960
GAZP;1;050922;144700;250.6900000;250.6900000;250.5400000;250.6200000;3290
GAZP;1;050922;144800;250.6200000;250.7000000;250.5700000;250.6900000;2740
GAZP;1;050922;144900;250.6800000;250.7500000;250.6400000;250.7400000;17480
GAZP;1;050922;145000;250.7400000;250.7500000;250.6700000;250.7400000;8830
GAZP;1;050922;145100;250.7400000;250.9900000;250.7000000;250.9400000;97950
GAZP;1;050922;145200;250.9400000;250.9700000;250.8500000;250.9200000;24070
GAZP;1;050922;145300;250.9300000;251.0000000;250.9000000;250.9900000;304190
GAZP;1;050922;145400;250.9900000;251.4900000;250.7600000;251.4000000;271210
GAZP;1;050922;145500;251.4400000;251.4400000;251.1900000;251.4200000;54630
GAZP;1;050922;145600;251.3700000;251.5000000;251.3700000;251.4900000;172910
GAZP;1;050922;145700;251.4700000;251.5000000;251.4000000;251.4700000;26740
GAZP;1;050922;145800;251.4700000;251.4800000;251.3000000;251.3600000;22860
GAZP;1;050922;145900;251.3500000;251.3700000;251.1600000;251.1900000;62410
GAZP;1;050922;150000;251.2000000;251.2300000;251.1000000;251.1800000;26770
GAZP;1;050922;150100;251.1000000;251.2000000;251.0100000;251.0300000;56960
GAZP;1;050922;150200;251.0400000;251.2300000;251.0200000;251.1300000;40880
GAZP;1;050922;150300;251.2100000;251.4200000;251.2000000;251.4200000;47650
GAZP;1;050922;150400;251.4000000;251.4400000;251.1800000;251.2400000;24930
GAZP;1;050922;150500;251.2400000;251.3800000;251.2300000;251.3000000;9760
GAZP;1;050922;150600;251.3000000;251.3500000;251.3000000;251.3200000;3430
GAZP;1;050922;150700;251.3200000;251.3800000;251.2800000;251.2800000;20520
GAZP;1;050922;150800;251.3000000;251.3000000;251.1900000;251.2300000;54360
GAZP;1;050922;150900;251.2300000;251.2500000;251.0800000;251.1400000;20450
GAZP;1;050922;151000;251.1400000;251.2000000;251.0000000;251.0800000;34720
GAZP;1;050922;151100;251.0500000;251.1000000;251.0000000;251.0300000;35160
GAZP;1;050922;151200;251.0500000;251.1000000;251.0500000;251.0900000;8950
GAZP;1;050922;151300;251.1000000;251.1000000;251.0200000;251.0300000;7330
GAZP;1;050922;151400;251.0200000;251.0300000;250.9100000;250.9100000;18940
GAZP;1;050922;151500;250.9100000;251.1000000;250.9000000;251.0500000;36960
GAZP;1;050922;151600;251.1000000;251.1000000;251.0000000;251.1000000;8080
GAZP;1;050922;151700;251.0700000;251.1000000;251.0500000;251.1000000;5390
GAZP;1;050922;151800;251.1000000;251.2000000;251.0400000;251.2000000;23120
GAZP;1;050922;151900;251.2000000;251.3000000;251.1800000;251.3000000;29170
GAZP;1;050922;152000;251.3000000;251.3000000;251.2500000;251.2500000;162520
GAZP;1;050922;152100;251.2700000;251.3700000;251.2700000;251.3700000;168540
GAZP;1;050922;152200;251.3700000;251.3700000;251.3000000;251.3100000;177280
GAZP;1;050922;152300;251.3000000;251.3500000;251.3000000;251.3100000;11970
GAZP;1;050922;152400;251.3200000;251.3700000;251.3000000;251.3500000;66560
GAZP;1;050922;152500;251.3100000;251.3500000;251.3000000;251.3000000;174850
GAZP;1;050922;152600;251.3300000;251.3300000;251.3000000;251.3200000;12820
GAZP;1;050922;152700;251.3200000;251.3700000;251.3200000;251.3400000;66660
GAZP;1;050922;152800;251.3200000;251.3500000;251.3000000;251.3000000;26630
GAZP;1;050922;152900;251.3400000;251.3700000;251.3000000;251.3500000;82210
GAZP;1;050922;153000;251.3500000;251.3500000;251.3000000;251.3300000;28910
GAZP;1;050922;153100;251.3500000;251.3700000;251.3100000;251.3100000;26280
